0:0:0:0:0:0:0:1 - - [16/Feb/2021:14:31:53 +0900] "POST /Jsp02_MultiDelete/myupdate_res.jsp HTTP/1.1" 500 2549
0:0:0:0:0:0:0:1 - - [16/Feb/2021:14:33:04 +0900] "POST /Jsp02_MultiDelete/myupdate_res.jsp HTTP/1.1" 500 2549
0:0:0:0:0:0:0:1 - - [16/Feb/2021:14:33:06 +0900] "GET /Jsp02_MultiDelete/myupdate.jsp?seq=3 HTTP/1.1" 200 840
0:0:0:0:0:0:0:1 - - [16/Feb/2021:14:33:08 +0900] "POST /Jsp02_MultiDelete/myupdate_res.jsp HTTP/1.1" 500 2549
0:0:0:0:0:0:0:1 - - [16/Feb/2021:14:33:18 +0900] "GET /Jsp02_MultiDelete/boardlist.jsp HTTP/1.1" 200 2237
0:0:0:0:0:0:0:1 - - [16/Feb/2021:14:33:19 +0900] "GET /Jsp02_MultiDelete/boardlist.jsp HTTP/1.1" 200 2237
0:0:0:0:0:0:0:1 - - [16/Feb/2021:14:33:19 +0900] "GET /Jsp02_MultiDelete/boardlist.jsp HTTP/1.1" 200 2237
0:0:0:0:0:0:0:1 - - [16/Feb/2021:14:33:19 +0900] "GET /Jsp02_MultiDelete/boardlist.jsp HTTP/1.1" 200 2237
0:0:0:0:0:0:0:1 - - [16/Feb/2021:14:33:19 +0900] "GET /Jsp02_MultiDelete/boardlist.jsp HTTP/1.1" 200 2237
0:0:0:0:0:0:0:1 - - [16/Feb/2021:14:33:19 +0900] "GET /Jsp02_MultiDelete/boardlist.jsp HTTP/1.1" 200 2237
0:0:0:0:0:0:0:1 - - [16/Feb/2021:14:33:20 +0900] "GET /Jsp02_MultiDelete/boardlist.jsp HTTP/1.1" 200 2237
0:0:0:0:0:0:0:1 - - [16/Feb/2021:14:33:20 +0900] "GET /Jsp02_MultiDelete/boardlist.jsp HTTP/1.1" 200 2237
0:0:0:0:0:0:0:1 - - [16/Feb/2021:14:33:20 +0900] "GET /Jsp02_MultiDelete/boardlist.jsp HTTP/1.1" 200 2237
